NODE,PARENT,PATH
ACCOUNTADMIN,, ==> ACCOUNTADMIN
PC_SQLDBM_ROLE,ACCOUNTADMIN, ==> ACCOUNTADMIN ==> PC_SQLDBM_ROLE
SECURITYADMIN,ACCOUNTADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN
SYSADMIN,ACCOUNTADMIN, ==> ACCOUNTADMIN ==> SYSADMIN
INSIGHTS_FULL_ROLE,SECURITYADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> INSIGHTS_FULL_ROLE
SFINFDBMI,SECURITYADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI
STAGE_FULL_ROLE,SECURITYADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> STAGE_FULL_ROLE
TSRV_READ_ROLE,SECURITYADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TSRV_READ_ROLE
TRANS_READ_ROLE,SECURITYADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_READ_ROLE
TGEN_FULL_ROLE,SECURITYADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TGEN_FULL_ROLE
ZIT_DEVELOPER,SECURITYADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> ZIT_DEVELOPER
OPS_GENERAL,SECURITYADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> OPS_GENERAL
SFPBIRPT,SECURITYADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFPBIRPT
TOPS_FULL_ROLE,SECURITYADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TOPS_FULL_ROLE
TRANS_FULL_ROLE,SECURITYADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE
TASKADMIN,SECURITYADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TASKADMIN
TSRV_FULL_ROLE,SECURITYADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TSRV_FULL_ROLE
SFMIGRATION,SECURITYADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION
STAGE_READ_ROLE,SECURITYADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> STAGE_READ_ROLE
INSIGHTS_READ_ROLE,SECURITYADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> INSIGHTS_READ_ROLE
OPS_READ_ROLE,SECURITYADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> OPS_READ_ROLE
SFINFELT,SECURITYADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT
TGEN_READ_ROLE,SECURITYADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TGEN_READ_ROLE
TOPS_READ_ROLE,SECURITYADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TOPS_READ_ROLE
IT_DEVELOPER,SECURITYADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> IT_DEVELOPER
USERADMIN,SECURITYADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> USERADMIN
SFMIGRATION,SYSADMIN, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION
PC_SQLDBM_ROLE,SYSADMIN, ==> ACCOUNTADMIN ==> SYSADMIN ==> PC_SQLDBM_ROLE
INSIGHTS_READ_ROLE,INSIGHTS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> INSIGHTS_FULL_ROLE ==> INSIGHTS_READ_ROLE
TRANS_FULL_ROLE,SFINFDBMI, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> TRANS_FULL_ROLE
STAGE_FULL_ROLE,SFINFDBMI, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> STAGE_FULL_ROLE
IT_DEVELOPER,SFINFDBMI, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> IT_DEVELOPER
STAGE_READ_ROLE,STAGE_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> STAGE_FULL_ROLE ==> STAGE_READ_ROLE
TOPS_READ_ROLE,TRANS_READ_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_READ_ROLE ==> TOPS_READ_ROLE
TGEN_READ_ROLE,TRANS_READ_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_READ_ROLE ==> TGEN_READ_ROLE
TSRV_READ_ROLE,TRANS_READ_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_READ_ROLE ==> TSRV_READ_ROLE
TGEN_READ_ROLE,TGEN_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TGEN_FULL_ROLE ==> TGEN_READ_ROLE
INSIGHTS_FULL_ROLE,ZIT_DEVELOPER, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> ZIT_DEVELOPER ==> INSIGHTS_FULL_ROLE
TRANS_FULL_ROLE,ZIT_DEVELOPER, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> ZIT_DEVELOPER ==> TRANS_FULL_ROLE
STAGE_FULL_ROLE,ZIT_DEVELOPER, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> ZIT_DEVELOPER ==> STAGE_FULL_ROLE
SYSADMIN,ZIT_DEVELOPER, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> ZIT_DEVELOPER ==> SYSADMIN
OPS_READ_ROLE,OPS_GENERAL, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> OPS_GENERAL ==> OPS_READ_ROLE
OPS_GENERAL,SFPBIRPT, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFPBIRPT ==> OPS_GENERAL
STAGE_READ_ROLE,SFPBIRPT, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFPBIRPT ==> STAGE_READ_ROLE
TRANS_READ_ROLE,SFPBIRPT, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFPBIRPT ==> TRANS_READ_ROLE
TOPS_READ_ROLE,TOPS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TOPS_FULL_ROLE ==> TOPS_READ_ROLE
TRANS_READ_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE ==> TRANS_READ_ROLE
TGEN_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE ==> TGEN_FULL_ROLE
TSRV_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE ==> TSRV_FULL_ROLE
INSIGHTS_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE ==> INSIGHTS_FULL_ROLE
TOPS_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE ==> TOPS_FULL_ROLE
TSRV_READ_ROLE,TSRV_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TSRV_FULL_ROLE ==> TSRV_READ_ROLE
SFINFDBMI,SFMIGRATION, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION ==> SFINFDBMI
SFINFELT,SFMIGRATION, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION ==> SFINFELT
SFPBIRPT,SFMIGRATION, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION ==> SFPBIRPT
TRANS_FULL_ROLE,SFINFELT, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT ==> TRANS_FULL_ROLE
IT_DEVELOPER,SFINFELT, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT ==> IT_DEVELOPER
STAGE_FULL_ROLE,SFINFELT, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT ==> STAGE_FULL_ROLE
TRANS_FULL_ROLE,IT_DEVELOPER, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> IT_DEVELOPER ==> TRANS_FULL_ROLE
STAGE_FULL_ROLE,IT_DEVELOPER, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> IT_DEVELOPER ==> STAGE_FULL_ROLE
INSIGHTS_FULL_ROLE,IT_DEVELOPER, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> IT_DEVELOPER ==> INSIGHTS_FULL_ROLE
SFINFDBMI,SFMIGRATION, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION ==> SFINFDBMI
SFINFELT,SFMIGRATION, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION ==> SFINFELT
SFPBIRPT,SFMIGRATION, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION ==> SFPBIRPT
TRANS_READ_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> TRANS_FULL_ROLE ==> TRANS_READ_ROLE
TGEN_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> TRANS_FULL_ROLE ==> TGEN_FULL_ROLE
TSRV_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> TRANS_FULL_ROLE ==> TSRV_FULL_ROLE
INSIGHTS_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> TRANS_FULL_ROLE ==> INSIGHTS_FULL_ROLE
TOPS_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> TRANS_FULL_ROLE ==> TOPS_FULL_ROLE
STAGE_READ_ROLE,STAGE_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> STAGE_FULL_ROLE ==> STAGE_READ_ROLE
TRANS_FULL_ROLE,IT_DEVELOPER, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> IT_DEVELOPER ==> TRANS_FULL_ROLE
STAGE_FULL_ROLE,IT_DEVELOPER, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> IT_DEVELOPER ==> STAGE_FULL_ROLE
INSIGHTS_FULL_ROLE,IT_DEVELOPER, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> IT_DEVELOPER ==> INSIGHTS_FULL_ROLE
INSIGHTS_READ_ROLE,INSIGHTS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> ZIT_DEVELOPER ==> INSIGHTS_FULL_ROLE ==> INSIGHTS_READ_ROLE
TRANS_READ_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> ZIT_DEVELOPER ==> TRANS_FULL_ROLE ==> TRANS_READ_ROLE
TGEN_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> ZIT_DEVELOPER ==> TRANS_FULL_ROLE ==> TGEN_FULL_ROLE
TSRV_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> ZIT_DEVELOPER ==> TRANS_FULL_ROLE ==> TSRV_FULL_ROLE
INSIGHTS_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> ZIT_DEVELOPER ==> TRANS_FULL_ROLE ==> INSIGHTS_FULL_ROLE
TOPS_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> ZIT_DEVELOPER ==> TRANS_FULL_ROLE ==> TOPS_FULL_ROLE
STAGE_READ_ROLE,STAGE_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> ZIT_DEVELOPER ==> STAGE_FULL_ROLE ==> STAGE_READ_ROLE
SFMIGRATION,SYSADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> ZIT_DEVELOPER ==> SYSADMIN ==> SFMIGRATION
PC_SQLDBM_ROLE,SYSADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> ZIT_DEVELOPER ==> SYSADMIN ==> PC_SQLDBM_ROLE
OPS_READ_ROLE,OPS_GENERAL, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFPBIRPT ==> OPS_GENERAL ==> OPS_READ_ROLE
TOPS_READ_ROLE,TRANS_READ_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFPBIRPT ==> TRANS_READ_ROLE ==> TOPS_READ_ROLE
TGEN_READ_ROLE,TRANS_READ_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFPBIRPT ==> TRANS_READ_ROLE ==> TGEN_READ_ROLE
TSRV_READ_ROLE,TRANS_READ_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFPBIRPT ==> TRANS_READ_ROLE ==> TSRV_READ_ROLE
TOPS_READ_ROLE,TRANS_READ_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE ==> TRANS_READ_ROLE ==> TOPS_READ_ROLE
TGEN_READ_ROLE,TRANS_READ_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE ==> TRANS_READ_ROLE ==> TGEN_READ_ROLE
TSRV_READ_ROLE,TRANS_READ_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE ==> TRANS_READ_ROLE ==> TSRV_READ_ROLE
TGEN_READ_ROLE,TGEN_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE ==> TGEN_FULL_ROLE ==> TGEN_READ_ROLE
TSRV_READ_ROLE,TSRV_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE ==> TSRV_FULL_ROLE ==> TSRV_READ_ROLE
INSIGHTS_READ_ROLE,INSIGHTS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE ==> INSIGHTS_FULL_ROLE ==> INSIGHTS_READ_ROLE
TOPS_READ_ROLE,TOPS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE ==> TOPS_FULL_ROLE ==> TOPS_READ_ROLE
TRANS_FULL_ROLE,SFINFDBMI, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION ==> SFINFDBMI ==> TRANS_FULL_ROLE
STAGE_FULL_ROLE,SFINFDBMI, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION ==> SFINFDBMI ==> STAGE_FULL_ROLE
IT_DEVELOPER,SFINFDBMI, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION ==> SFINFDBMI ==> IT_DEVELOPER
TRANS_FULL_ROLE,SFINFELT, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION ==> SFINFELT ==> TRANS_FULL_ROLE
IT_DEVELOPER,SFINFELT, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION ==> SFINFELT ==> IT_DEVELOPER
STAGE_FULL_ROLE,SFINFELT, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION ==> SFINFELT ==> STAGE_FULL_ROLE
OPS_GENERAL,SFPBIRPT, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION ==> SFPBIRPT ==> OPS_GENERAL
STAGE_READ_ROLE,SFPBIRPT, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION ==> SFPBIRPT ==> STAGE_READ_ROLE
TRANS_READ_ROLE,SFPBIRPT, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION ==> SFPBIRPT ==> TRANS_READ_ROLE
TRANS_READ_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT ==> TRANS_FULL_ROLE ==> TRANS_READ_ROLE
TGEN_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT ==> TRANS_FULL_ROLE ==> TGEN_FULL_ROLE
TSRV_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT ==> TRANS_FULL_ROLE ==> TSRV_FULL_ROLE
INSIGHTS_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT ==> TRANS_FULL_ROLE ==> INSIGHTS_FULL_ROLE
TOPS_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT ==> TRANS_FULL_ROLE ==> TOPS_FULL_ROLE
TRANS_FULL_ROLE,IT_DEVELOPER, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT ==> IT_DEVELOPER ==> TRANS_FULL_ROLE
STAGE_FULL_ROLE,IT_DEVELOPER, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT ==> IT_DEVELOPER ==> STAGE_FULL_ROLE
INSIGHTS_FULL_ROLE,IT_DEVELOPER, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT ==> IT_DEVELOPER ==> INSIGHTS_FULL_ROLE
STAGE_READ_ROLE,STAGE_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT ==> STAGE_FULL_ROLE ==> STAGE_READ_ROLE
TRANS_READ_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> IT_DEVELOPER ==> TRANS_FULL_ROLE ==> TRANS_READ_ROLE
TGEN_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> IT_DEVELOPER ==> TRANS_FULL_ROLE ==> TGEN_FULL_ROLE
TSRV_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> IT_DEVELOPER ==> TRANS_FULL_ROLE ==> TSRV_FULL_ROLE
INSIGHTS_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> IT_DEVELOPER ==> TRANS_FULL_ROLE ==> INSIGHTS_FULL_ROLE
TOPS_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> IT_DEVELOPER ==> TRANS_FULL_ROLE ==> TOPS_FULL_ROLE
STAGE_READ_ROLE,STAGE_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> IT_DEVELOPER ==> STAGE_FULL_ROLE ==> STAGE_READ_ROLE
INSIGHTS_READ_ROLE,INSIGHTS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> IT_DEVELOPER ==> INSIGHTS_FULL_ROLE ==> INSIGHTS_READ_ROLE
TRANS_FULL_ROLE,SFINFDBMI, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION ==> SFINFDBMI ==> TRANS_FULL_ROLE
STAGE_FULL_ROLE,SFINFDBMI, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION ==> SFINFDBMI ==> STAGE_FULL_ROLE
IT_DEVELOPER,SFINFDBMI, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION ==> SFINFDBMI ==> IT_DEVELOPER
TRANS_FULL_ROLE,SFINFELT, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION ==> SFINFELT ==> TRANS_FULL_ROLE
IT_DEVELOPER,SFINFELT, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION ==> SFINFELT ==> IT_DEVELOPER
STAGE_FULL_ROLE,SFINFELT, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION ==> SFINFELT ==> STAGE_FULL_ROLE
OPS_GENERAL,SFPBIRPT, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION ==> SFPBIRPT ==> OPS_GENERAL
STAGE_READ_ROLE,SFPBIRPT, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION ==> SFPBIRPT ==> STAGE_READ_ROLE
TRANS_READ_ROLE,SFPBIRPT, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION ==> SFPBIRPT ==> TRANS_READ_ROLE
TOPS_READ_ROLE,TRANS_READ_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> TRANS_FULL_ROLE ==> TRANS_READ_ROLE ==> TOPS_READ_ROLE
TGEN_READ_ROLE,TRANS_READ_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> TRANS_FULL_ROLE ==> TRANS_READ_ROLE ==> TGEN_READ_ROLE
